Timestamp,rpm,pressure_mb,temp_c,humidity_pct
2026-02-15 11:30:09,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:10,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:11,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:12,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:13,10.0,1006.5,23.5,48.2,40.0
2026-02-15 11:30:14,10.0,1006.0,23.5,48.2,100.0
2026-02-15 11:30:15,10.0,1005.8,23.5,48.2,100.0
2026-02-15 11:30:16,10.0,1006.3,23.5,48.2,100.0
2026-02-15 11:30:17,10.0,1006.0,23.5,48.2,100.0
2026-02-15 11:30:18,10.0,1006.0,23.5,48.2,100.0
2026-02-15 11:30:19,10.0,1006.0,23.5,48.2,100.0
2026-02-15 11:30:20,10.0,1006.0,23.5,48.2,100.0
2026-02-15 11:30:21,10.0,1006.0,23.5,48.2,100.0
2026-02-15 11:30:22,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:23,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:30:24,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:25,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:26,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:30:27,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:28,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:30:29,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:30,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:30:31,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:32,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:30:33,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:30:34,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:30:35,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:36,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:37,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:38,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:39,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:40,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:30:41,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:42,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:30:43,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:44,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:30:45,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:30:46,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:30:47,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:30:48,10.0,1006.3,23.4,48.2,40.0
2026-02-15 11:30:49,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:30:50,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:30:51,10.0,1006.3,23.4,48.2,40.0
2026-02-15 11:30:52,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:30:53,10.0,1006.3,23.4,48.2,40.0
2026-02-15 11:30:54,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:30:55,10.0,1006.3,23.4,48.2,40.0
2026-02-15 11:30:56,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:30:57,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:30:58,10.0,1006.3,23.4,48.2,40.0
2026-02-15 11:30:59,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:00,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:01,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:02,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:03,10.0,1005.8,23.4,48.2,40.0
2026-02-15 11:31:04,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:05,10.0,1006.3,23.4,48.2,40.0
2026-02-15 11:31:06,10.0,1005.8,23.4,48.2,40.0
2026-02-15 11:31:07,10.0,1006.3,23.4,48.2,40.0
2026-02-15 11:31:08,10.0,1005.8,23.4,48.2,40.0
2026-02-15 11:31:09,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:10,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:11,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:12,10.0,1005.8,23.4,48.2,40.0
2026-02-15 11:31:13,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:14,10.0,1006.0,23.4,48.3,40.0
2026-02-15 11:31:15,10.0,1006.3,23.4,48.3,40.0
2026-02-15 11:31:16,10.0,1006.3,23.4,48.3,40.0
2026-02-15 11:31:17,10.0,1006.3,23.4,48.3,40.0
2026-02-15 11:31:18,10.0,1006.3,23.4,48.3,40.0
2026-02-15 11:31:19,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:20,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:21,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:22,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:23,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:24,10.0,1006.0,23.4,48.2,40.0
2026-02-15 11:31:25,10.0,1005.8,23.4,48.2,40.0
2026-02-15 11:31:26,10.0,1005.8,23.4,48.2,40.0
2026-02-15 11:31:27,10.0,1006.3,23.4,48.2,40.0
2026-02-15 11:31:28,10.0,1005.8,23.4,48.2,40.0
2026-02-15 11:31:29,10.0,1005.8,23.4,48.2,40.0
2026-02-15 11:31:30,10.0,1005.8,23.4,48.3,40.0
2026-02-15 11:31:31,10.0,1006.3,23.4,48.3,40.0
2026-02-15 11:31:32,10.0,1005.8,23.4,48.3,40.0
